,title,nationality,box_office_first_week,press_eval,viewers_eval,budget,duration_minutes,season,year,action,animation,arts martiaux,aventure,biopic,bollywood,comédie,comédie dramatique,comédie musicale,divers,drame,epouvante-horreur,erotique,espionnage,expérimental,famille,fantastique,guerre,historique,judiciaire,musical,policier,péplum,romance,science fiction,sport event,thriller,western,stars_producers_director,nombre_acteurs_connus,distributor_important
2884,miracol,Roumanie,8937,3.2,2.9,29000000.0,118,été,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,True
2885,"roubaix, une lumière",France,114773,3.7,3.6,29000000.0,119,été,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,2,True
2885,"roubaix, une lumière",France,114773,3.7,3.6,29000000.0,119,été,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
2886,patriots day,U.S.A.,37359,2.8,3.7,45000000.0,129,printemps,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2886,patriots day,U.S.A.,37359,2.8,3.7,45000000.0,129,printemps,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,True
2888,inu-oh,Japon,9716,3.8,3.7,29000000.0,98,automne,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2888,inu-oh,Japon,9716,3.8,3.7,29000000.0,98,automne,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,True
2888,inu-oh,Japon,9716,3.8,3.7,29000000.0,98,automne,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2888,inu-oh,Japon,9716,3.8,3.7,29000000.0,98,automne,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2888,inu-oh,Japon,9716,3.8,3.7,29000000.0,98,automne,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,True
